Title,URL,Message,Category,Tracking Number
paket lama,https://tanyapaket.cekresi.com/question/paket-lama-57/,paket saya dengan no resi JD0377946014 dari tgl 17/03/2024 dari malang ke bogor kenapa masih belum sampai,JNT Express,no resi JD0377946014
cek paket wahana,https://tanyapaket.cekresi.com/question/cek-paket-wahana-2/,"Mohon klarifikasi, paketan yang seharusnya sampai tgl 18 maret, sampai hari ini 21 maret kenapa belum sampai. Paket menggunakan wahana dengan nomer resi p49b4gk3 dari pekalongan menuju sukoharjo",WAHAHA,resi p49b4gk3
Nomor resi tidak bisa dilacak,https://tanyapaket.cekresi.com/question/nomor-resi-tidak-bisa-dilacak-41/,Tolo lacak barang dengan nomor resi berikut sedang berada dimana? JDO378691410,JNT Express,nomor resi berikut
Asking my package,https://tanyapaket.cekresi.com/question/asking-my-package-4/,"Paket no. Resi JP3668010294 by jnt udah 3 hari di jkt, kenapa ya?",JNT Express,no. Resi JP3668010294
"Paket dengan nomor resi 200457540760,gk jalan dari kemarin,saya gk tau udah dimana sekarang 🙏🙏",https://tanyapaket.cekresi.com/question/paket-dengan-nomor-resi-200457540760gk-jalan-dari-kemarinsaya-gk-tau-udah-dimana-sekarang-%f0%9f%99%8f%f0%9f%99%8f/,"Paket dengan nomor resi 200457540760,gk ada jalan dari kemarin saya gk tau paket saya dimana skrg",JNT Cargo,nomor resi 200457540760
Paket saya sudah di terima sama yang bersangkutan tapi foto rumah nya buka. Rumah saya,https://tanyapaket.cekresi.com/question/paket-saya-sudah-di-terima-sama-yang-bersangkutan-tapi-foto-rumah-nya-buka-rumah-saya/,"Paket nya sudah sampai tapi bukan di rumah saya bahkan foto pun bukan rumah saya, padahal saya sudah menyertakan alamat rumah saya dengan jelas, mohon untuk kirimkan paket saya ke rumah saya No resi:SPXID040888217843",Shopee Express,No resi:SPXID040888217843
paket belum sampai dari tgl 13 maret 2024,https://tanyapaket.cekresi.com/question/paket-belum-sampai-dari-tgl-13-maret-2024/,paket belum sampai dari tgl 13 maret 2024 paket tujuan gianyar bali,JNT Express,
paket mengalami kendala pengiriman,https://tanyapaket.cekresi.com/question/paket-mengalami-kendala-pengiriman/,"no resi 10008549348605 saya pesan lewat marketplace shopee. saya lacak ternyata terakhir updatenya tanggal 18 dini hari, sudah hampir 3 hari tidak ada update terbaru, dan paket belum mencapai 50% progres pengiriman. tolong untuk anteraja, ekspedisinya yang amanah. sudah berkali-kali saya dan rekan saya mengalami kendala lewat anteraja. entah paket hilang, paket lambat, atau tidak sesuai. sekian.",Anteraja,no resi 10008549348605
Tanya paket,https://tanyapaket.cekresi.com/question/tanya-paket-2693/,"JNE kenapa lama ya,paket saya dengan resi 4148642400313163 sudah 3 hari belum sampai",JNE Express,resi 4148642400313163
Paket tidak bisa dilacak.,https://tanyapaket.cekresi.com/question/paket-tidak-bisa-dilacak-166/,"Paket dengan no resi JNE 02027007547224 tidak bisa dilacak sejak awal beli pada tanggal 16 Maret 2024,bantu lacakan paket tsb,sekian terima kasih",JNE Express,no resi JNE
